model	Precision	Recall	F1	Accuracy
Random Forest	0.756065389056869	0.20263581740174	0.319611422354744	0.660581832063781
K-Nearest Neighbors	0.39870417233683	0.265008689260828	0.318390907307558	0.553605347980431
SVM (RBF)	0.456504940611879	0.667471269379002	0.542189290934119	0.556542771042724
SVM (Linear)	0.467278910891821	0.680913299652438	0.554221535599543	0.569065113907114
XGBoost	0.758615815655712	0.273749640305467	0.402320332294193	0.680011619837914
Logistic Regression-L2	0.564542317677459	0.831592354582654	0.672526919520346	0.675888662119414
Elastic Net	0.518692617532461	0.795582599382284	0.627970177926967	0.629141565464714
Logistic Regression-L1	0.514600664100793	0.795582599382284	0.624961935278451	0.624343239981644
